"Number","Name","Nat","Pos","Height","Weight","Date of Birth","Birth Place","Previous Club","Team","League","lat","long"
"11","Mohamed Salah","EGY","F","1.75","72","15-06-92","Basyoun","Roma","Liverpool","England",NA,NA
"12","Joe Gomez","ENG","D","1.88","77","23-05-97","Catford","Charlton Ath","Liverpool","England",51.4453215,-0.0197534
"13","Adrián","ESP","G","1.90","80","03-01-87","Seville","West Ham U","Liverpool","England",37.3886303,-5.9953403
"14","Jordan Henderson","ENG","M","1.82","67","17-06-90","Sunderland","Sunderland","Liverpool","England",54.9058512,-1.3828727
"15","Alex Oxlade-Chamberlain","ENG","M","1.80","70","15-08-93","Portsmouth","Arsenal","Liverpool","England",50.8036831,-1.075614
"16","","","","","","","","","Liverpool","England",NA,NA
"17","","","","","","","","","Liverpool","England",NA,NA
"18","Takumi Minamino","JPN","F","1.74","67","16-01-95","Osaka","Red Bull Salzburg","Liverpool","England",34.6198813,135.490357
"19","","","","","","","","","Liverpool","England",NA,NA
"20","Adam Lallana","ENG","M","1.72","73","10-05-88","St Albans","Southampton","Liverpool","England",51.7492956,-0.3422526
"21","","","","","","","","","Liverpool","England",NA,NA
"22","Andy Lonergan","ENG","G","1.92","87","19-10-83","Preston","Middlesbrough","Liverpool","England",53.7593363,-2.6992717
"23","Xherdan Shaqiri","SUI","M","1.69","72","10-10-91","Gnjilane","Stoke C","Liverpool","England",42.4635017,21.4681816
"24","","","","","","","","","Liverpool","England",NA,NA
"25","","","","","","","","","Liverpool","England",NA,NA
"26","Andrew Robertson","SCO","D","1.78","63","11-03-94","Glasgow","Hull C","Liverpool","England",55.8609825,-4.2488787
"27","Divock Origi","BEL","F","1.85","75","18-04-95","Ostend","Lille","Liverpool","England",51.2258565,2.919496
"28","","","","","","","","","Liverpool","England",NA,NA
"29","","","","","","","","","Liverpool","England",NA,NA
"30","","","","","","","","","Liverpool","England",NA,NA
"31","","","","","","","","","Liverpool","England",NA,NA
"32","Joel Matip","CMR","D","1.95","90","08-08-91","Bochum","Schalke","Liverpool","England",51.4818111,7.2196635
"33","","","","","","","","","Liverpool","England",NA,NA
"34","","","","","","","","","Liverpool","England",NA,NA
"35","","","","","","","","","Liverpool","England",NA,NA
"36","","","","","","","","","Liverpool","England",NA,NA
"37","","","","","","","","","Liverpool","England",NA,NA
"38","","","","","","","","","Liverpool","England",NA,NA
"39","","","","","","","","","Liverpool","England",NA,NA
"40","","","","","","","","","Liverpool","England",NA,NA
"45","Dal Varešanovic","BIH","M","","","23-05-01","Vienna","Sarajevo","Liverpool","England",48.2083537,16.3725042
"46","Adam Lewis","ENG","D","","","08-11-99","Liverpool","None","Liverpool","England",53.407154,-2.991665
"48","Curtis Jones","ENG","M","","","30-01-01","Liverpool","None","Liverpool","England",53.407154,-2.991665
"49","Liam Millar","CAN","F","1.76","72","27-09-99","Toronto","Fulham","Liverpool","England",43.653963,-79.387207
"51","Ki-Jana Hoever","NED","D","","","18-01-02","Amsterdam","Ajax","Liverpool","England",52.3745403,4.89797550561798
"52","Daniel Atherton","ENG","G","","","18-12-99","Haydock","None","Liverpool","England",53.4671946,-2.6618064
"53","Joe Hardy","ENG","F","","","26-09-98","Wirral","Brentford","Liverpool","England",53.3409714,-3.0500916
"56","Tony Gallacher","SCO","D","1.73","65","23-07-99","Glasgow","Falkirk","Liverpool","England",55.8609825,-4.2488787
"62","Caoimhin Kelleher","IRL","G","","","23-11-98","Cork","Ringmahon Rangers","Liverpool","England",51.8979282,-8.4705806
"63","Ben Winterbottom","ENG","G","","","16-07-01","Preston","Blackburn R","Liverpool","England",53.7593363,-2.6992717
"65","Tom Clayton","SCO","D","","","16-12-00","Rainford","None","Liverpool","England",53.5020825,-2.7878773
"66","Trent Alexander-Arnold","ENG","D","1.75","69","07-10-98","Liverpool","None","Liverpool","England",53.407154,-2.991665
"67","Harvey Elliott","ENG","M","","","04-04-03","Chertsey","Fulham","Liverpool","England",46.0727975,-73.8886371
"68","Pedro Chirivella","ESP","M","1.78","66","23-05-97","Valencia","Valencia","Liverpool","England",39.4699014,-0.3759513
"69","Elijah Dixon-Bonner","ENG","M","","","01-01-01","London","Arsenal","Liverpool","England",51.5073219,-0.1276474
"70","Yasser Larouci","FRA","D","","","01-01-01","El Oued","Le Havre","Liverpool","England",33.3611766,6.8603492
"72","Sepp van den Berg","NED","D","1.90","78","20-12-01","Zwolle","PEC Zwolle","Liverpool","England",52.51456525,6.09772035967769
"75","Luis Longstaff","ENG","M","","","24-02-01","Darlington","Newcastle U","Liverpool","England",54.5242081,-1.5555812
"76","Neco Williams","WAL","D","","","13-04-01","Wrexham","None","Liverpool","England",53.0465068,-2.9938137
"77","Morgan Boyes","WAL","D","","","22-04-01","Chester","None","Liverpool","England",53.1908873,-2.8908955
"78","Vítezslav Jaroš","CZE","G","","","23-07-01","Príbram","Slavia Prague","Liverpool","England",49.6901444,14.0103663
"80","Jake Cain","ENG","M","","","02-09-01","Wigan","None","Liverpool","England",53.5457188,-2.6264624
"81","Jack Bearne","ENG","M","","","15-09-01","Nottingham","Notts Co","Liverpool","England",52.9534193,-1.1496461
"83","Jack Walls","ENG","D","","","16-10-01","Liverpool","None","Liverpool","England",53.407154,-2.991665
"84","Leighton Clarkson","ENG","M","","","19-10-01","Blackburn","None","Liverpool","England",53.749326,-2.4840566
"85","Remi Savage","ENG","D","","","26-10-01","Liverpool","None","Liverpool","England",53.407154,-2.991665
"88","Owen Beck","WAL","D","","","09-08-02","Wrexham","None","Liverpool","England",53.0465068,-2.9938137
"89","Billy Koumetio","FRA","D","","","14-11-02","Lyon","Orléans","Liverpool","England",45.7578137,4.8320114
"92","Tyler Morton","ENG","M","","","31-10-02","Wirral","None","Liverpool","England",53.3409714,-3.0500916
"93","James Norris","ENG","D","","","04-04-03","Liverpool","None","Liverpool","England",53.407154,-2.991665
"94","Jarell Quansah","ENG","D","","","29-01-03","Warrington","None","Liverpool","England",53.4018582,-2.5680223597163
"97","Layton Stewart","ENG","F","","","03-09-02","Liverpool","None","Liverpool","England",53.407154,-2.991665
"99","Thomas Hill","ENG","M","","","13-10-02","Formby","None","Liverpool","England",53.5563035,-3.0656565
"1","Claudio Bravo","CHI","G","1.84","80","13-04-83","Viluco","Barcelona","Manchester 
City","England",-34.8962818,-71.1593473
"2","Kyle Walker","ENG","D","1.83","83","28-05-90","Sheffield","Tottenham H","Manchester 
City","England",53.3806626,-1.4702278
"3","","","","","","","","","Manchester 
City","England",NA,NA
"4","","","","","","","","","Manchester 
City","England",NA,NA
"5","John Stones","ENG","D","1.88","70","28-05-94","Barnsley","Everton","Manchester 
City","England",53.5527719,-1.4827755
"6","","","","","","","","","Manchester 
City","England",NA,NA
"7","Raheem Sterling","ENG","F","1.70","69","08-12-94","Kingston","Liverpool","Manchester 
City","England",17.9712148,-76.7928128
"8","Ilkay Gündogan","GER","M","1.80","80","24-10-90","Gelsenkirchen","Borussia Dortmund","Manchester 
City","England",51.5110321,7.0960124
"9","Gabriel Jesus","BRA","F","1.75","73","03-04-97","São Paulo","Palmeiras","Manchester 
City","England",-23.5506507,-46.6333824
"10","Sergio Agüero","ARG","F","1.73","70","02-06-88","Capital Federal","Atlético Madrid","Manchester 
City","England",-34.6075682,-58.4370894
"11","Oleksandr Zinchenko","UKR","D","1.75","61","15-12-96","Illichivsk","FC Ufa","Manchester 
City","England",46.3020943,30.653466
"12","","","","","","","","","Manchester 
City","England",NA,NA
"13","","","","","","","","","Manchester 
City","England",NA,NA
"14","Aymeric Laporte","FRA","D","1.91","87","27-05-94","Agen","Athletic Bilbao","Manchester 
City","England",44.2015624,0.6176324
"15","","","","","","","","","Manchester 
City","England",NA,NA
"16","Rodri","ESP","M","1.90","78","22-06-96","Madrid","Atlético Madrid","Manchester 
City","England",40.4167047,-3.7035825
"17","Kevin De Bruyne","BEL","M","1.81","68","28-06-91","Drongen","Wolfsburg","Manchester 
City","England",51.0528944,3.63953457678636
"18","","","","","","","","","Manchester 
City","England",NA,NA
"19","Leroy Sané","GER","F","1.83","75","11-01-96","Essen","Schalke","Manchester 
City","England",51.4582235,7.0158171
"20","Bernardo Silva","POR","M","1.73","62","10-08-94","Lisbon","Monaco","Manchester 
City","England",38.7077507,-9.1365919
"21","David Silva","ESP","M","1.73","67","08-01-86","Arguineguín","Valencia","Manchester 
City","England",27.7590753,-15.6813497
"22","Benjamin Mendy","FRA","D","1.80","72","17-07-94","Longjumeau","Monaco","Manchester 
City","England",48.6943793,2.2953297
"23","","","","","","","","","Manchester 
City","England",NA,NA
"24","","","","","","","","","Manchester 
City","England",NA,NA
"25","Fernandinho","BRA","M","1.79","67","04-05-85","Londrina","Shakhtar Donetsk","Manchester 
City","England",-23.3112878,-51.1595023
"26","Riyad Mahrez","ALG","M","1.79","62","21-02-91","Sarcelles","Leicester C","Manchester 
City","England",48.9960813,2.3796245
"27","João Cancelo","POR","D","1.82","74","27-05-94","Barreiro","Juventus","Manchester 
City","England",38.6340657,-9.04785672725107
"28","","","","","","","","","Manchester 
City","England",NA,NA
"29","","","","","","","","","Manchester 
City","England",NA,NA
"30","Nicolás Otamendi","ARG","D","1.83","81","12-02-88","Pacheco","Valencia","Manchester 
City","England",37.990188,-122.06975043068
"31","Ederson","BRA","G","1.88","89","17-08-93","Osasco","Benfica","Manchester 
City","England",-23.5324859,-46.7916801
"32","Daniel Grimshaw","ENG","G","","","16-01-98","Manchester","None","Manchester 
City","England",53.4794892,-2.2451148
"33","Scott Carson","ENG","G","1.83","86","03-09-85","Whitehaven","Derby Co","Manchester 
City","England",54.5474199,-3.5885335
"34","","","","","","","","","Manchester 
City","England",NA,NA
"35","","","","","","","","","Manchester 
City","England",NA,NA
"36","","","","","","","","","Manchester 
City","England",NA,NA
"37","","","","","","","","","Manchester 
City","England",NA,NA
"38","","","","","","","","","Manchester 
City","England",NA,NA
"39","","","","","","","","","Manchester 
City","England",NA,NA
"40","","","","","","","","","Manchester 
City","England",NA,NA
"47","Phil Foden","ENG","M","","","28-05-00","Stockport","None","Manchester 
City","England",53.407901,-2.160243
"50","Eric García","ESP","D","1.82","79","09-01-01","Barcelona","Barcelona","Manchester 
City","England",41.3828939,2.1774322
"51","Nabil Touaizi","ESP","F","","","01-02-01","","Valencia","Manchester 
City","England",NA,NA
"52","Tyreke Wilson","IRL","D","","","02-12-99","Dublin","Cherry Orchard","Manchester 
City","England",53.3497645,-6.2602732
"55","Gavin Bazunu","IRL","G","1.89","79","20-02-02","Dublin","Shamrock R","Manchester 
City","England",53.3497645,-6.2602732
"57","Yeboah Amankwah","ENG","D","","","19-10-00","","None","Manchester 
City","England",NA,NA
"58","Thomas Scott","ENG","G","","","28-10-00","Leeds","None","Manchester 
City","England",53.7974185,-1.5437941
"59","Henri Ogunby","ENG","M","","","21-01-01","Bolton","None","Manchester 
City","England",53.5782863,-2.4300367
"60","Fisayo Dele-Bashiru","ENG","M","","","06-02-01","Hamburg","None","Manchester 
City","England",53.5437641,10.0099133
"61","Felix Nmecha","ENG","M","","","10-10-00","Hamburg","None","Manchester 
City","England",53.5437641,10.0099133
"62","Nathaniel Ogbeta","ENG","D","","","28-04-01","Salford","None","Manchester 
City","England",53.4877463,-2.2891921
"63","Keyendrah Simmonds","ENG","F","","","31-05-01","Manchester","None","Manchester 
City","England",53.4794892,-2.2451148
"64","Rowan McDonald","ENG","M","","","20-10-01","Oldham","None","Manchester 
City","England",35.3907651,-102.6193428
"66","Iker Pozo","ESP","M","","","06-08-00","","Real Madrid","Manchester 
City","England",NA,NA
"69","Tommy Doyle","ENG","M","","","17-10-01","Manchester","None","Manchester 
City","England",53.4794892,-2.2451148
"70","Louie Moulden","ENG","G","","","06-01-02","Bolton","None","Manchester 
City","England",53.5782863,-2.4300367
"71","Lewis Fiorini","SCO","M","","","17-05-02","Manchester","None","Manchester 
City","England",53.4794892,-2.2451148
"72","Morgan Rogers","ENG","M","","","26-07-02","","WBA","Manchester 
City","England",NA,NA
"73","Jayden Braaf","NED","F","","","31-08-02","Amsterdam","PSV Eindhoven","Manchester 
City","England",52.3745403,4.89797550561798
"77","Sammy Robinson","ENG","D","","","09-01-02","Cheltenham","None","Manchester 
City","England",51.8995685,-2.0711559
"78","Taylor Harwood-Bellis","ENG","D","","","30-01-02","","None","Manchester 
City","England",NA,NA
"80","Cole Palmer","ENG","M","","","06-05-02","Manchester","None","Manchester 
City","England",53.4794892,-2.2451148
"82","Adrián Bernabé","ESP","M","","","26-05-01","","Barcelona","Manchester 
City","England",NA,NA
"84","Cieran Slicker","SCO","G","","","15-09-02","","None","Manchester 
City","England",NA,NA
"85","James Trafford","ENG","G","","","10-10-02","","None","Manchester 
City","England",NA,NA
"87","James McAtee","ENG","M","","","18-10-02","","None","Manchester 
City","England",NA,NA
"88","Richard Dionkou","ESP","D","1.83","70","10-10-01","Sindone","Mallorca","Manchester 
City","England",45.07317265,7.68586468348643
"94","Finley Burns","ENG","D","","","17-06-03","","Southend U","Manchester 
City","England",NA,NA
"96","Ben Knight","ENG","M","","","30-11-02","","Ipswich T","Manchester 
City","England",NA,NA
"1","David De Gea","ESP","G","1.92","76","07-11-90","Madrid","Atlético Madrid","Manchester 
United","England",40.4167047,-3.7035825
"2","Victor Lindelöf","SWE","D","1.87","82","17-07-94","Västerås","Benfica","Manchester 
United","England",59.6110992,16.5463679
"3","Eric Bailly","CIV","D","1.87","77","12-04-94","Abidjan","Villarreal","Manchester 
United","England",5.320357,-4.016107
"4","Phil Jones","ENG","D","1.80","71","21-02-92","Preston","Blackburn R","Manchester 
United","England",53.7593363,-2.6992717
"5","Harry Maguire","ENG","D","1.88","79","05-03-93","Sheffield","Leicester C","Manchester 
United","England",53.3806626,-1.4702278
"6","Paul Pogba","FRA","M","1.91","84","15-03-93","Lagny-sur-Marne","Juventus","Manchester 
United","England",48.8773018,2.7056056
"7","","","","","","","","","Manchester 
United","England",NA,NA
"8","Juan Mata","ESP","M","1.70","63","28-04-88","Burgos","Chelsea","Manchester 
United","England",42.343926,-3.696977
"9","Anthony Martial","FRA","F","1.81","76","05-12-95","Massy","Monaco","Manchester 
United","England",49.6902106,1.399492
"10","Marcus Rashford","ENG","F","1.80","70","31-10-97","Manchester","None","Manchester 
United","England",53.4794892,-2.2451148
"11","","","","","","","","","Manchester 
United","England",NA,NA
"12","","","","","","","","","Manchester 
United","England",NA,NA
"13","Lee Grant","ENG","G","1.93","83","27-01-83","Hemel Hempstead","Stoke C","Manchester 
United","England",51.7511784,-0.472528
"14","Jesse Lingard","ENG","M","1.75","62","15-12-92","Warrington","None","Manchester 
United","England",53.4018582,-2.5680223597163
"15","Andreas Pereira","BRA","M","1.77","66","01-01-96","Duffel","PSV Eindhoven","Manchester 
United","England",51.0957176,4.5061988
"16","","","","","","","","","Manchester 
United","England",NA,NA
"17","Fred","BRA","M","1.69","68","05-03-93","Belo Horizonte","Shakhtar Donetsk","Manchester 
United","England",-19.9227318,-43.9450948
"18","Bruno Fernandes","POR","M","1.79","75","08-09-94","Maia","Sporting CP","Manchester 
United","England",41.23734565,-8.62999817336433
"19","","","","","","","","","Manchester 
United","England",NA,NA
"20","Diogo Dalot","POR","D","1.84","75","18-03-99","Braga","FC Porto","Manchester 
United","England",41.5510583,-8.4280045
"21","Daniel James","WAL","M","1.80","76","10-11-97","Kingston upon Hull","Swansea C","Manchester 
United","England",53.7435722,-0.3394758
"22","Sergio Romero","ARG","G","1.92","87","22-02-87","Bernardo de Irigoyen","Sampdoria","Manchester 
United","England",-26.2553959,-53.6467366
"23","Luke Shaw","ENG","D","1.85","75","12-07-95","Kingston upon Thames","Southampton","Manchester 
United","England",51.4096275,-0.3062621
"24","Timothy Fosu-Mensah","NED","D","1.90","78","02-01-98","Amsterdam","Ajax","Manchester 
United","England",52.3745403,4.89797550561798
"25","Odion Ighalo","NGA","F","1.88","70","16-06-89","Lagos","Shanghai Shenhua","Manchester 
United","England",6.4550575,3.3941795
"26","Mason Greenwood","ENG","F","","","01-10-01","Bradford","None","Manchester 
United","England",53.7944229,-1.7519186
"27","","","","","","","","","Manchester 
United","England",NA,NA
"28","Angel Gomes","ENG","M","","","31-08-00","Enfield","None","Manchester 
United","England",51.6520851,-0.0810175
"29","Aaron Wan-Bissaka","ENG","D","1.83","72","26-11-97","Croydon","Crystal Palace","Manchester 
United","England",51.3713049,-0.101957
"30","Nathan Bishop","ENG","G","1.85","72","15-10-99","Hillingdon","Southend U","Manchester 
United","England",51.5425193,-0.448334931179497
"31","Nemanja Matic","SRB","M","1.94","85","01-08-88","Šabac","Chelsea","Manchester 
United","England",44.7571535,19.6953972
"32","Paul Woolston","ENG","G","1.80","85","14-08-98","North Shields","Newcastle U","Manchester 
United","England",55.0093149,-1.4451288
"33","Luca Ercolani","ITA","D","","","25-11-99","Ravenna","Forlì","Manchester 
United","England",44.3640607,12.0590094908639
"34","","","","","","","","","Manchester 
United","England",NA,NA
"35","Demi Mitchell","ENG","D","1.75","75","11-01-97","Manchester","None","Manchester 
United","England",53.4794892,-2.2451148
"36","","","","","","","","","Manchester 
United","England",NA,NA
"37","James Garner","ENG","M","","","13-03-01","Birkenhead","None","Manchester 
United","England",53.3943509,-3.0191569
"38","Axel Tuanzebe","ENG","D","1.82","75","14-11-97","Bunia","None","Manchester 
United","England",1.5620529,30.2478844
"39","Scott McTominay","SCO","M","1.78","65","08-12-96","Lancaster","None","Manchester 
United","England",40.03813,-76.3056686
"40","","","","","","","","","Manchester 
United","England",NA,NA
"41","Ethan Laird","ENG","D","","","05-08-01","Basingstoke","None","Manchester 
United","England",51.262826,-1.0861976
"44","Tahith Chong","NED","F","1.85","70","04-12-99","Willemstad","Feyenoord","Manchester 
United","England",12.1091242,-68.9316546
"46","Hannibal Mejbri","FRA","M","","","21-01-03","Ivry-sur-Seine","Monaco","Manchester 
United","England",48.8122302,2.3872525
"47","Arnau Puigmal","ESP","M","","","10-01-01","","Espanyol","Manchester 
United","England",NA,NA
"49","D'Mani Mellor","ENG","F","","","20-09-00","Manchester","None","Manchester 
United","England",53.4794892,-2.2451148
"50","Alex Fojtícek","SVK","G","","","03-03-00","Prešov","Tatran Prešov","Manchester 
United","England",48.99594245,21.2462787922124
"51","Matej Kovár","CZE","G","","","17-05-00","","Slovácko","Manchester 
United","England",NA,NA
"52","Max Taylor","ENG","D","","","10-01-00","Manchester","None","Manchester 
United","England",53.4794892,-2.2451148
"53","Brandon Williams","ENG","D","","","03-09-00","Manchester","None","Manchester 
United","England",53.4794892,-2.2451148
"54","Ethan Galbraith","NIR","M","","","11-05-01","Belfast","Linfield","Manchester 
United","England",54.5964411,-5.9302761
"57","Aliou Traore","FRA","M","","","08-01-01","Sarcelles","Paris St-Germain","Manchester 
United","England",48.9960813,2.3796245
"58","Di'Shon Bernard","ENG","D","","","14-10-00","Wandsworth","None","Manchester 
United","England",51.4570271,-0.1932607
"59","Largie Ramazani","BEL","F","","","27-02-01","Sint-Agatha-Berchem","Charlton Ath","Manchester 
United","England",50.8649231,4.2946734
"60","Ondrej Mastný","CZE","G","","","08-03-02","","Vysocina Jihlava","Manchester 
United","England",NA,NA
"61","Dion McGhee","ENG","M","","","14-09-00","Oldham","None","Manchester 
United","England",35.3907651,-102.6193428
"62","Anthony Elanga","SWE","F","","","27-04-02","Hyllie","None","Manchester 
United","England",55.56274605,12.975852768036
"63","Dylan Levitt","WAL","M","","","17-11-00","Bodelwyddan","None","Manchester 
United","England",53.2705527,-3.5129657
"65","Dillon Hoogewerf","NED","F","","","27-02-03","Almere","Ajax","Manchester 
United","England",52.44175125,5.20929431043276
"71","Teden Mengi","ENG","D","","","30-04-02","Kaduna","None","Manchester 
United","England",10.3825318,7.8533226
"72","Mark Helm","ENG","M","","","21-01-01","Warrington","None","Manchester 
United","England",53.4018582,-2.5680223597163
"74","Charlie McCann","IRL","M","","","24-04-02","Coventry","Coventry C","Manchester 
United","England",52.4081812,-1.510477
"75","Reece Devine","ENG","D","","","18-12-01","","Manchester C","Manchester 
United","England",NA,NA
"76","Jacob Carney","ENG","G","","","21-04-01","","None","Manchester 
United","England",NA,NA
"77","William Fish","ENG","D","","","17-02-03","","None","Manchester 
United","England",NA,NA
"82","Lukasz Bejger","POL","D","","","11-01-02","Poznan","Lech Poznan","Manchester 
United","England",52.4082663,16.9335199
"86","Ayodeji Sotona","IRL","F","","","07-12-02","Waterford","None","Manchester 
United","England",52.2609997,-7.1119081
"88","Charlie Wellens","ENG","M","","","05-12-02","Salford","None","Manchester 
United","England",53.4877463,-2.2891921
"1","Martin Dúbravka","SVK","G","1.90","83","15-01-89","Žilina","Sparta Prague","Newcastle 
United","England",49.22055575,18.7260535114405
"2","Ciaran Clark","IRL","D","1.88","76","26-09-89","Harrow","Aston Villa","Newcastle 
United","England",51.5967688,-0.33727515543507
"3","Paul Dummett","WAL","D","1.78","65","26-09-91","Newcastle upon Tyne","None","Newcastle 
United","England",54.9738474,-1.6131572
"4","","","","","","","","","Newcastle 
United","England",NA,NA
"5","Fabian Schär","SUI","D","1.88","84","20-12-91","Wil","Deportivo La Coruña","Newcastle 
United","England",41.5018224,-84.5923785
"6","Jamaal Lascelles","ENG","D","1.88","83","11-12-93","Derby","Nottingham F","Newcastle 
United","England",52.9212617,-1.4761491
"7","Andy Carroll","ENG","F","1.93","79","06-01-89","Gateshead","West Ham U","Newcastle 
United","England",54.9625789,-1.6019294
"8","Jonjo Shelvey","ENG","M","1.83","70","27-02-92","Romford","Swansea C","Newcastle 
United","England",51.5760462,0.1822646
"9","Joelinton","BRA","F","1.90","76","14-08-96","Aliança","1899 Hoffenheim","Newcastle 
United","England",-7.60398,-35.222696
"10","Allan Saint-Maximin","FRA","F","1.73","67","12-03-97","Châtenay-Malabry","Nice","Newcastle 
United","England",48.7670404,2.2775316
"11","Matt Ritchie","SCO","M","1.73","70","10-09-89","Gosport","Bournemouth","Newcastle 
United","England",50.7952074,-1.1210853
"12","Dwight Gayle","ENG","F","1.77","73","20-10-90","Walthamstow","Crystal Palace","Newcastle 
United","England",51.5844701,-0.0188186
"13","Yoshinori Muto","JPN","F","1.78","69","15-07-92","Tokyo","Mainz","Newcastle 
United","England",35.6828387,139.7594549
"14","Isaac Hayden","ENG","D","1.87","79","22-03-95","Chelmsford","Arsenal","Newcastle 
United","England",51.7345436,0.4724544
"15","Jetro Willems","NED","D","1.69","66","30-03-94","Rotterdam","Eintracht Frankfurt","Newcastle 
United","England",51.9228958,4.4631727
"16","","","","","","","","","Newcastle 
United","England",NA,NA
"17","Emil Krafth","SWE","D","1.84","83","02-08-94","Stockholm","Amiens","Newcastle 
United","England",59.3251172,18.0710935
"18","Federico Fernández","ARG","D","1.90","83","21-02-89","Tres Algarrobos","Swansea C","Newcastle 
United","England",-35.1958619,-62.7741166
"19","Javi Manquillo","ESP","D","1.80","75","05-05-94","Madrid","Atlético Madrid","Newcastle 
United","England",40.4167047,-3.7035825
"20","Florian Lejeune","FRA","D","1.88","81","20-05-91","Paris","Eibar","Newcastle 
United","England",48.8566969,2.3514616
"21","Robert Elliot","IRL","G","1.90","98","30-04-86","Chatham","Charlton Ath","Newcastle 
United","England",35.7151316,-79.2533035
"22","DeAndre Yedlin","USA","D","1.73","68","09-07-93","Seattle","Tottenham H","Newcastle 
United","England",47.6038321,-122.3300624
"23","Valentino Lazaro","AUT","M","1.80","75","24-03-96","Graz","Internazionale","Newcastle 
United","England",47.0708678,15.4382786
"24","Miguel Almirón","PAR","M","1.77","70","01-02-94","Asunción","Atlanta U","Newcastle 
United","England",-25.2800459,-57.6343814
"25","Jamie Sterry","ENG","D","1.80","70","21-11-95","Newcastle upon Tyne","None","Newcastle 
United","England",54.9738474,-1.6131572
"26","Karl Darlow","ENG","G","1.85","79","08-10-90","Northampton","Nottingham F","Newcastle 
United","England",52.2381355,-0.8963907
"27","","","","","","","","","Newcastle 
United","England",NA,NA
"28","Danny Rose","ENG","D","1.74","76","02-07-90","Doncaster","Tottenham H","Newcastle 
United","England",53.5227681,-1.1335312
"29","","","","","","","","","Newcastle 
United","England",NA,NA
"30","Christian Atsu","GHA","M","1.72","68","10-01-92","Ada Foah","Chelsea","Newcastle 
United","England",5.781638,0.633197
"31","","","","","","","","","Newcastle 
United","England",NA,NA
"32","","","","","","","","","Newcastle 
United","England",NA,NA
"33","Liam Gibson","ENG","D","1.85","80","25-04-97","Stanley","None","Newcastle 
United","England",-51.6950575,-57.8491693
"34","","","","","","","","","Newcastle 
United","England",NA,NA
"35","Kyle Scott","USA","M","1.72","60","12-12-97","Bath","Chelsea","Newcastle 
United","England",51.38092635,-2.37418971512966
"36","Sean Longstaff","ENG","M","1.81","65","30-10-97","North Shields","None","Newcastle 
United","England",55.0093149,-1.4451288
"37","","","","","","","","","Newcastle 
United","England",NA,NA
"38","Víctor Fernández","ESP","F","","","02-05-98","Barcelona","Cornellà","Newcastle 
United","England",41.3828939,2.1774322
"39","Jake Turner","ENG","G","1.94","82","25-02-99","Wilmslow","Bolton W","Newcastle 
United","England",53.3261292,-2.2327511
"40","Rosaire Longelo","ENG","M","","","20-10-99","","West Ham U","Newcastle 
United","England",NA,NA
"42","Nabil Bentaleb","ALG","M","1.87","68","24-11-94","Lille","Schalke","Newcastle 
United","England",50.6365654,3.0635282
"43","Matthew Longstaff","ENG","M","","","21-03-00","Rotherham","None","Newcastle 
United","England",53.4310417,-1.355187
"44","Mohammed Sangare","LBR","M","","","28-12-98","","None","Newcastle 
United","England",NA,NA
"45","Lewis Cass","ENG","D","","","07-02-00","North Shields","None","Newcastle 
United","England",55.0093149,-1.4451288
"46","Luke Charman","ENG","F","","","09-12-97","Durham","None","Newcastle 
United","England",35.996653,-78.9018053
"47","Elias Sørensen","DEN","F","","","18-09-99","","HB Køge","Newcastle 
United","England",NA,NA
"48","Owen Bailey","ENG","D","","","22-01-99","Newcastle upon Tyne","None","Newcastle 
United","England",54.9738474,-1.6131572
"50","Tom Allan","ENG","F","","","23-09-99","Newcastle upon Tyne","None","Newcastle 
United","England",54.9738474,-1.6131572
"51","Yannick Toure","SUI","F","","","29-09-00","Dakar","Young Boys","Newcastle 
United","England",14.693425,-17.447938
"52","Oliver Walters","ENG","D","","","16-05-00","Newcastle upon Tyne","None","Newcastle 
United","England",54.9738474,-1.6131572
"53","Adam Wilson","ENG","F","","","10-04-00","Ashington","None","Newcastle 
United","England",55.18354185,-1.58641198609403
"54","Dan Langley","ENG","G","","","28-12-00","","None","Newcastle 
United","England",NA,NA
"55","Ludwig Francillette","FRA","D","","","05-05-99","","Quetigny","Newcastle 
United","England",NA,NA
"58","Ryan Barrett","WAL","D","","","05-06-01","","None","Newcastle 
United","England",NA,NA
"59","Oisin McEntee","IRL","D","1.92","78","05-01-01","New York","None","Newcastle 
United","England",40.7127281,-74.0060152
"60","Jack Young","ENG","M","","","21-10-00","","None","Newcastle 
United","England",NA,NA
"63","Lucas Gamblin","ENG","D","","","21-06-02","","None","Newcastle 
United","England",NA,NA
"64","Kain Reed","ENG","F","","","16-01-02","","None","Newcastle 
United","England",NA,NA
"66","Jude Swailes","ENG","D","","","01-09-01","","None","Newcastle 
United","England",NA,NA
"67","Elliot Anderson","SCO","M","","","06-11-02","","None","Newcastle 
United","England",NA,NA
"75","Joshua Scott","ENG","D","","","13-09-02","","None","Newcastle 
United","England",NA,NA
"76","Dylan Stephenson","ENG","M","","","10-12-02","","None","Newcastle 
United","England",NA,NA
"77","Joe White","ENG","M","","","01-10-02","","None","Newcastle 
United","England",NA,NA
"1","Tim Krul","NED","G","1.88","74","03-04-88","Den Haag","Brighton & HA","Norwich City","England",52.07494555,4.26968022053645
"2","Max Aarons","ENG","D","1.76","69","04-01-00","Hammersmith","Luton T","Norwich City","England",51.4920377,-0.2236401
