"Number","Name","Nat","Pos","Height","Weight","Date.of.Birth","Birth.Place","Previous.Club","Team","League","lat","long"
11,"Pione Sisto","DEN","M",1.71,65,"04-02-95","Kampala","FC Midtjylland","Celta Vigo","Spain",0.3177137,32.5813539
12,"Rafinha","BRA","M",1.74,71,"12-02-93","São Paulo","Barcelona","Celta Vigo","Spain",-23.5506507,-46.6333824
13,"Rubén Blanco","ESP","G",1.88,70,"25-07-95","Vigo","Celta B","Celta Vigo","Spain",42.2376602,-8.7247205
14,"Filip Bradaric","CRO","M",1.85,77,"11-01-92","Split","Cagliari","Celta Vigo","Spain",43.5116383,16.4399659
15,"Lucas Olaza","URU","D",1.77,75,"21-07-94","Montevideo","Boca Juniors","Celta Vigo","Spain",-34.9059039,-56.1913569
16,"Jorge","ESP","D",1.92,75,"17-11-96","Santa Cruz de Tenerife","Valencia","Celta Vigo","Spain",28.469648,-16.2540884
17,"David Juncà","ESP","D",1.75,67,"16-11-93","Riumors","Eibar","Celta Vigo","Spain",42.2269331,3.0420591
18,"Joseph Aidoo","GHA","D",1.8,80,"29-09-95","Tema","KRC Genk","Celta Vigo","Spain",5.69869215,0.040351070313932
19,"Gabriel Fernández","URU","F",1.86,80,"13-05-94","Montevideo","Peñarol","Celta Vigo","Spain",-34.9059039,-56.1913569
20,"Kevin Vázquez","ESP","D",1.73,72,"23-03-93","Nigrán","Celta B","Celta Vigo","Spain",42.1429822,-8.7879318
21,"Jeison Murillo","COL","D",1.82,78,"27-05-92","Cali","Sampdoria","Celta Vigo","Spain",3.4517923,-76.5324943
22,"Santi Mina","ESP","F",1.81,77,"07-12-95","Vigo","Valencia","Celta Vigo","Spain",42.2376602,-8.7247205
23,"Brais Méndez","ESP","F",1.87,78,"07-01-97","Mos","Celta B","Celta Vigo","Spain",42.1893442,-8.6436949
24,"Pape Cheikh","ESP","M",1.8,68,"08-08-97","Dakar","Lyon","Celta Vigo","Spain",14.693425,-17.447938
25,"Iván Villar","ESP","G",1.83,76,"09-07-97","Aldán","Celta B","Celta Vigo","Spain",58.608414,125.388222
26,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
27,"Fran Vieites","ESP","G",NA,NA,"07-05-99","Pontecesures","Celta B","Celta Vigo","Spain",42.7207856,-8.652991
28,"Sergio Bermejo","ESP","M",1.7,61,"17-08-97","Madrid","Navalcarnero","Celta Vigo","Spain",40.4167047,-3.7035825
29,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
30,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
31,"José Fontán","ESP","D",NA,NA,"11-02-00","Vilagarcía de Arousa","Celta B","Celta Vigo","Spain",42.5947625,-8.7669178
32,"Sergio Carreira","ESP","D",1.7,65,"13-10-00","Vigo","Celta B","Celta Vigo","Spain",42.2376602,-8.7247205
33,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
34,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
35,"Iago Domínguez","ESP","G",NA,NA,"22-11-01","","Celta B","Celta Vigo","Spain",NA,NA
36,"Iker Losada","ESP","M",1.75,70,"01-08-01","Catoira","Celta B","Celta Vigo","Spain",42.6583215,-8.70344895039402
37,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
38,"Brais Rodríguez","ESP","G",NA,NA,"09-04-03","","Celta B","Celta Vigo","Spain",NA,NA
39,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
40,"","","",NA,NA,"","","","Celta Vigo","Spain",NA,NA
1,"Marko Dmitrovic","SRB","G",1.94,94,"24-01-92","Subotica","Alcorcón"," Eibar","Spain",46.1000129,19.6640974
2,"Esteban Burgos","ARG","D",1.88,84,"09-01-92","Salta","Alcorcón"," Eibar","Spain",-25.1076701,-64.3494964
3,"Pedro Bigas","ESP","D",1.81,83,"15-05-90","Palma de Mallorca","Las Palmas"," Eibar","Spain",39.5695818,2.6500745
4,"Iván Ramis","ESP","D",1.88,82,"25-10-84","Sa Pobla","Levante"," Eibar","Spain",39.7699388,3.0250102
5,"Gonzalo Escalante","ARG","M",1.82,76,"27-03-93","Bella Vista","Catania"," Eibar","Spain",36.45765895,-94.2737211478164
6,"Sergio Álvarez","ESP","M",1.8,65,"23-01-92","Avilés","Sporting Gijón"," Eibar","Spain",43.5554436,-5.9222466
7,"Quique","ESP","F",1.75,67,"16-05-90","Valladolid","Deportivo La Coruña"," Eibar","Spain",41.6521328,-4.728562
8,"Papakouli Diop","SEN","M",1.79,77,"19-03-86","Kaolack","Espanyol"," Eibar","Spain",13.9631756,-15.7888834
9,"Sergi Enrich","ESP","F",1.81,77,"26-02-90","Ciutadella de Menorca","Numancia"," Eibar","Spain",40.0006767,3.8355966
10,"Edu Expósito","ESP","M",1.79,68,"01-08-96","Barcelona","Deportivo La Coruña"," Eibar","Spain",41.3828939,2.1774322
11,"Rafa Soares","POR","D",1.82,75,"09-05-95","Marco de Canaveses","Vitória Guimarães"," Eibar","Spain",41.1616546,-8.12779201865893
12,"Paulo Oliveira","POR","D",1.87,78,"08-01-92","Vila Nova de Famalicão","Sporting CP"," Eibar","Spain",41.4065175,-8.5187481
13,"Yoel","ESP","G",1.86,78,"28-08-88","Vigo","Valencia"," Eibar","Spain",42.2376602,-8.7247205
14,"Fabián Orellana","CHI","M",1.69,68,"27-01-86","Santiago","Valencia"," Eibar","Spain",9.8694792,-83.7980749
15,"José Ángel","ESP","D",1.82,77,"05-09-89","Gijón","FC Porto"," Eibar","Spain",43.5450394,-5.6626443
16,"Pablo De Blasis","ARG","M",1.64,65,"04-02-88","La Plata","Mainz"," Eibar","Spain",-34.9206797,-57.9537638
17,"Kike","ESP","F",1.86,79,"25-11-89","Motilla del Palancar","Middlesbrough"," Eibar","Spain",39.5629676,-1.9119709
18,"Sebastián Cristóforo","URU","M",1.74,65,"23-08-93","Montevideo","Fiorentina"," Eibar","Spain",-34.9059039,-56.1913569
19,"Charles","BRA","F",1.79,76,"04-04-84","Belem","Málaga"," Eibar","Spain",31.7043556,35.2061876
20,"Rober","ESP","D",1.8,76,"20-09-92","Badajoz","Cádiz"," Eibar","Spain",38.8780585,-6.9702048
21,"Pedro León","ESP","M",1.83,70,"24-11-86","Mula","Getafe"," Eibar","Spain",38.0418669,-1.4906872
22,"Takashi Inui","JPN","M",1.69,59,"02-06-88","Omihachiman","Betis"," Eibar","Spain",35.1527915,136.0687365
23,"Anaitz Arbilla","ESP","D",1.78,76,"15-05-87","Pamplona","Espanyol"," Eibar","Spain",42.8184538,-1.6442556
24,"Álvaro Tejero","ESP","D",1.72,65,"20-07-96","Madrid","Real Madrid B"," Eibar","Spain",40.4167047,-3.7035825
25,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
26,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
27,"Miguel Marí","ESP","M",1.85,78,"30-06-97","Alicante","Valladolid B"," Eibar","Spain",38.353738,-0.4901846
28,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
29,"Ekhi Bravo","ESP","F",NA,NA,"30-11-97","San Sebastián","Vitoria"," Eibar","Spain",43.3224219,-1.9838889
30,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
31,"Sergio Cubero","ESP","D",1.87,71,"05-09-99","Mungía","Vitoria"," Eibar","Spain",43.3540663,-2.8464157
32,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
33,"Miguel Ángel Atienza","ESP","M",1.86,77,"27-05-99","Madrid","Vitoria"," Eibar","Spain",40.4167047,-3.7035825
34,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
35,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
36,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
37,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
38,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
39,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
40,"","","",NA,NA,"","",""," Eibar","Spain",NA,NA
1,"Andrés Prieto","ESP","G",1.94,92,"17-10-93","Alicante","Leganés","Espanyol","Spain",38.353738,-0.4901846
2,"Pipa","ESP","D",1.75,68,"26-01-98","Esparraguera","Espanyol B","Espanyol","Spain",41.8079748,-4.0002615
3,"Adrià Pedrosa","ESP","D",1.76,69,"13-05-98","Barcelona","Espanyol B","Espanyol","Spain",41.3828939,2.1774322
4,"Víctor Sánchez","ESP","M",1.74,72,"08-09-87","Rubí","Neuchâtel Xamax","Espanyol","Spain",41.4936194,2.0319476
5,"Naldo","BRA","D",1.88,80,"25-08-88","Santo André","FC Krasnodar","Espanyol","Spain",-23.6573395,-46.5322504
6,"","","",NA,NA,"","","","Espanyol","Spain",NA,NA
7,"Wu Lei","CHN","M",1.72,61,"19-11-91","Nanjing","Shanghai SIPG","Espanyol","Spain",32.0609736,118.7916458
8,"Ander Iturraspe","ESP","M",1.87,77,"08-03-89","Abadiño","Athletic Bilbao","Espanyol","Spain",43.1526506,-2.6079995
9,"Facundo Ferreyra","ARG","F",1.86,83,"14-03-91","Lomas de Zamora","Benfica","Espanyol","Spain",-34.7575788,-58.4027966
10,"Sergi Darder","ESP","M",1.8,71,"22-12-93","Artà","Lyon","Espanyol","Spain",39.6950088,3.3506343
11,"Raúl de Tomás","ESP","F",1.78,68,"17-10-94","Madrid","Benfica","Espanyol","Spain",40.4167047,-3.7035825
12,"Jonathan Calleri","ARG","F",1.81,77,"23-09-93","Capital Federal","Deportivo Maldonado","Espanyol","Spain",-34.6075682,-58.4370894
13,"Diego López","ESP","G",1.96,89,"03-11-81","Paradela","Milan","Espanyol","Spain",42.764594,-7.567601
14,"Óscar Melendo","ESP","M",1.67,63,"23-08-97","Barcelona","Espanyol B","Espanyol","Spain",41.3828939,2.1774322
15,"David López","ESP","M",1.83,81,"09-10-89","Barcelona","Napoli","Espanyol","Spain",41.3828939,2.1774322
16,"Javi López","ESP","D",1.8,76,"21-01-86","Osuna","Betis B","Espanyol","Spain",37.2373532,-5.1033306
17,"Dídac","ESP","D",1.85,74,"09-06-89","Mataró","AEK","Espanyol","Spain",41.5398348,2.4448926
18,"Leandro Cabrera","URU","D",1.87,81,"17-06-91","Montevideo","Getafe","Espanyol","Spain",-34.9059039,-56.1913569
19,"","","",NA,NA,"","","","Espanyol","Spain",NA,NA
20,"Bernardo Espinosa","COL","D",1.92,84,"11-07-89","Cali","Girona","Espanyol","Spain",3.4517923,-76.5324943
21,"Marc Roca","ESP","D",1.84,74,"26-11-96","La Granada","Espanyol B","Espanyol","Spain",37.183054,-3.6021928
22,"Matías Vargas","ARG","M",1.68,66,"08-05-97","Salta","Vélez Sarsfield","Espanyol","Spain",-25.1076701,-64.3494964
23,"Adri Embarba","ESP","F",1.73,66,"07-05-92","Madrid","Rayo Vallecano","Espanyol","Spain",40.4167047,-3.7035825
24,"Fernando Calero","ESP","D",1.83,69,"27-06-95","Boecillo","Valladolid","Espanyol","Spain",41.5406814,-4.6993793
25,"Oier Olazábal","ESP","G",1.89,82,"14-09-89","Irún","Levante","Espanyol","Spain",43.3383176,-1.7888095
26,"Pol Lozano","ESP","M",1.76,68,"06-10-99","Sant Quirze del Vallès","Espanyol B","Espanyol","Spain",41.530143,2.0820052
27,"Adrián López","ESP","G",1.85,73,"09-01-99","Barcelona","Espanyol B","Espanyol","Spain",41.3828939,2.1774322
28,"Carles Soria","ESP","D",1.69,72,"08-10-96","Calaf","AEK Larnaca","Espanyol","Spain",41.7323852,1.5150275
29,"Moha Ezzarfani","MAR","M",1.76,72,"15-11-97","Nador","Barcelona B","Espanyol","Spain",35.05191845,-2.82439937705742
30,"","","",NA,NA,"","","","Espanyol","Spain",NA,NA
31,"Víctor Campuzano","ESP","F",1.74,72,"31-05-97","Barcelona","Real Madrid B","Espanyol","Spain",41.3828939,2.1774322
32,"Iago Indias","ESP","D",1.8,72,"03-01-96","Vigo","Espanyol B","Espanyol","Spain",42.2376602,-8.7247205
33,"Nico","ESP","M",NA,NA,"11-04-01","Castelldefels","Espanyol B","Espanyol","Spain",41.2861022,1.9824173
34,"Víctor Gómez","ESP","D",1.66,69,"01-04-00","Olesa de Montserrat","Espanyol B","Espanyol","Spain",41.543053,1.8931874
35,"Joan García","ESP","G",NA,NA,"04-05-01","Sallent de Llobregat","Espanyol B","Espanyol","Spain",41.8165676,1.8923865
36,"Kévin Soni","CMR","M",1.83,76,"17-04-98","Douala","Girona","Espanyol","Spain",4.0429408,9.706203
37,"Ricard Pujol","ESP","D",NA,NA,"04-03-98","Castellví de Rosanes","Cornellà","Espanyol","Spain",41.450038,1.8994527
38,"","","",NA,NA,"","","","Espanyol","Spain",NA,NA
39,"","","",NA,NA,"","","","Espanyol","Spain",NA,NA
40,"","","",NA,NA,"","","","Espanyol","Spain",NA,NA
1,"Leandro Chichizola","ARG","G",1.86,82,"27-03-90","San Justo","Las Palmas","Getafe","Spain",42.1343272,-6.6253752
2,"Dakonam Djené","TOG","D",1.87,72,"31-12-91","Dapaong","Sint-Truiden","Getafe","Spain",10.8595454,0.2043122
3,"Vitorino Antunes","POR","D",1.76,70,"01-04-87","Freamunde","Dynamo Kyiv","Getafe","Spain",41.2885918,-8.3401591
4,"Erick Cabaco","URU","D",1.86,75,"19-04-95","Montevideo","Levante","Getafe","Spain",-34.9059039,-56.1913569
5,"Oghenekaro Etebo","NGA","M",1.76,70,"09-11-95","Lagos","Stoke C","Getafe","Spain",6.4550575,3.3941795
6,"Chema Rodríguez","ESP","D",1.89,80,"03-03-92","Caudete","Nottingham F","Getafe","Spain",38.706703,-0.9867978
7,"Jaime Mata","ESP","F",1.85,75,"24-10-88","Madrid","Valladolid","Getafe","Spain",40.4167047,-3.7035825
8,"Francisco Portillo","ESP","M",1.69,60,"13-06-90","Málaga","Betis","Getafe","Spain",36.7213028,-4.4216366
9,"Ángel","ESP","F",1.72,68,"26-04-87","Santa Cruz de Tenerife","Zaragoza","Getafe","Spain",28.469648,-16.2540884
10,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
11,"Amath Ndiaye","SEN","F",1.73,70,"16-07-96","Dakar","Atlético Madrid B","Getafe","Spain",14.693425,-17.447938
12,"Allan-Roméo Nyom","CMR","D",1.88,80,"10-05-88","Neuilly-sur-Seine","WBA","Getafe","Spain",48.884683,2.2695658
13,"David Soria","ESP","G",1.92,85,"04-04-93","Madrid","Sevilla","Getafe","Spain",40.4167047,-3.7035825
14,"Deyverson","BRA","F",1.89,82,"08-05-91","Santa Margarida","Palmeiras","Getafe","Spain",-20.3817696,-42.2522123
15,"Marc Cucurella","ESP","D",1.75,69,"22-07-98","Alella","Barcelona B","Getafe","Spain",41.4952867,2.2942758
16,"Xabier Etxeita","ESP","D",1.86,78,"31-10-87","Amorebieta-Etxano","Athletic Bilbao","Getafe","Spain",43.2201761,-2.7323154
17,"Mathías Olivera","URU","D",1.84,78,"31-10-97","Montevideo","Nacional [URU]","Getafe","Spain",-34.9059039,-56.1913569
18,"Mauro Arambarri","URU","M",1.75,74,"30-09-95","Salto","Boston River","Getafe","Spain",-23.1989983,-47.2913682
19,"Jorge Molina","ESP","F",1.88,72,"22-04-82","Alcoy","Betis","Getafe","Spain",38.6982275,-0.4747767
20,"Nemanja Maksimovic","SRB","M",1.84,75,"26-01-95","Banja Koviljaca","Valencia","Getafe","Spain",44.5144274,19.1583075
21,"Fayçal Fajr","MAR","M",1.78,72,"01-08-88","Rouen","Caen","Getafe","Spain",49.4404591,1.0939658
22,"Damián Suárez","URU","D",1.72,61,"27-04-88","Montevideo","Elche","Getafe","Spain",-34.9059039,-56.1913569
23,"Jason","ESP","M",1.78,65,"06-07-94","La Coruña","Valencia","Getafe","Spain",43.3712091,-8.3958768
24,"David Tímor","ESP","M",1.85,77,"17-10-89","Carcaixent","Las Palmas","Getafe","Spain",39.1218973,-0.4467128
25,"Kenedy","BRA","M",1.82,77,"08-02-96","Santa Rita do Sapucaí","Chelsea","Getafe","Spain",-22.2486968,-45.7064507
26,"Hugo Duro","ESP","F",1.77,70,"10-11-99","Getafe","Getafe B","Getafe","Spain",40.3081807,-3.7302679
27,"Josete Miranda","EQG","F",1.7,64,"22-07-98","Getafe","Getafe B","Getafe","Spain",40.3081807,-3.7302679
28,"Florent Poulolo","FRA","D",1.89,80,"02-01-97","","Alès","Getafe","Spain",NA,NA
29,"Miguel Acosta","ESP","D",NA,NA,"16-03-98","Madrid","Getafe B","Getafe","Spain",40.4167047,-3.7035825
30,"Jean Paul García","COL","G",NA,NA,"24-05-02","Cali","Getafe B","Getafe","Spain",3.4517923,-76.5324943
31,"David Alba","ESP","D",1.8,77,"05-05-99","Seseña","Getafe B","Getafe","Spain",40.1048269,-3.6963093
32,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
33,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
34,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
35,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
36,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
37,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
38,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
39,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
40,"","","",NA,NA,"","","","Getafe","Spain",NA,NA
1,"Rui Silva","POR","G",1.89,85,"07-02-94","Águas Santas","Nacional [POR]","Granada","Spain",41.61221765,-8.31904048933344
2,"Dimitri Foulquier","FRA","D",1.83,77,"23-03-93","Sarcelles","Watford","Granada","Spain",48.9960813,2.3796245
3,"Álex Martínez","ESP","D",1.76,64,"12-08-90","Seville","Betis","Granada","Spain",37.3886303,-5.9953403
4,"Maxime Gonalons","FRA","M",1.87,76,"10-03-89","Vénissieux","Roma","Granada","Spain",45.6977109,4.8855966
5,"José Antonio Martínez","ESP","D",1.88,80,"12-02-93","La Palma del Condado","Eibar","Granada","Spain",37.3841757,-6.5517596
6,"Germán Sánchez","ESP","D",1.88,82,"31-10-86","San Fernando","Tenerife","Granada","Spain",36.4643934,-6.198203
7,"Álvaro Vadillo","ESP","M",1.8,69,"12-09-94","Puerto Real","Huesca","Granada","Spain",36.5286856,-6.1902161
8,"Yan Brice","CMR","M",1.76,70,"26-08-97","Yaoundé","Sevilla","Granada","Spain",3.8689867,11.5213344
9,"Roberto Soldado","ESP","F",1.79,81,"27-05-85","Valencia","Fenerbahçe","Granada","Spain",39.4699014,-0.3759513
10,"Antonio Puertas","ESP","M",1.75,72,"21-02-92","Benahadux","Almería","Granada","Spain",36.9251533,-2.460209
11,"Ismail Köybasi","TUR","D",1.77,65,"10-07-89","Iskenderun","Fenerbahçe","Granada","Spain",36.6215136,36.2654181002781
12,"Ramon Azeez","NGA","M",1.7,70,"12-12-92","Abuja","Lugo","Granada","Spain",9.0643305,7.4892974
13,"Aarón Escandell","ESP","G",1.88,72,"27-09-95","Carcaixent","Málaga B","Granada","Spain",39.1218973,-0.4467128
14,"Fede Vico","ESP","M",1.8,70,"04-07-94","Córdoba","Leganés","Granada","Spain",37.8845813,-4.7760138
15,"Carlos Neva","ESP","D",1.74,64,"12-06-96","El Puerto de Santa María","Marbella","Granada","Spain",36.601468,-6.2381494
16,"Víctor Díaz","ESP","D",1.83,69,"12-06-88","Huelva","Leganés","Granada","Spain",37.2575874,-6.9484945
17,"Gil Dias","POR","F",1.83,78,"28-09-96","Gafanha da Nazaré","Monaco","Granada","Spain",40.6376106,-8.7136614
18,"Antoñín","ESP","F",1.82,71,"16-04-00","Málaga","Málaga","Granada","Spain",36.7213028,-4.4216366
19,"Ángel Montoro","ESP","M",1.8,70,"25-06-88","Valencia","Las Palmas","Granada","Spain",39.4699014,-0.3759513
20,"Jesús Vallejo","ESP","D",1.84,79,"05-01-97","Zaragoza","Real Madrid","Granada","Spain",41.6521342,-0.8809428
21,"Yangel Herrera","VEN","M",1.84,75,"07-01-98","La Guaira","Manchester C","Granada","Spain",10.6000384,-66.9296405
22,"Domingos Duarte","POR","D",1.92,78,"10-03-95","Cascais","Sporting CP","Granada","Spain",38.72240025,-9.39690917164988
23,"Darwin Machís","VEN","F",1.7,58,"07-02-93","Tucupita","Udinese","Granada","Spain",9.0600851,-62.0479721
24,"Carlos Fernández","ESP","F",1.86,72,"22-05-96","Seville","Sevilla B","Granada","Spain",37.3886303,-5.9953403
25,"","","",NA,NA,"","","","Granada","Spain",NA,NA
26,"Antonio Aranda","ESP","M",1.75,62,"07-10-00","Huétor Vega","Granada B","Granada","Spain",37.1452042,-3.5694625
27,"Antonio Marín","ESP","D",1.78,75,"17-06-96","Benalua","Almería B","Granada","Spain",37.3499272,-3.1690217
28,"","","",NA,NA,"","","","Granada","Spain",NA,NA
29,"Isma","ESP","M",1.8,67,"14-02-01","Gójar","Granada B","Granada","Spain",37.104497,-3.6057759
30,"","","",NA,NA,"","","","Granada","Spain",NA,NA
31,"Mario Rodríguez","ESP","M",1.76,64,"03-03-97","Barcelona","Peralada","Granada","Spain",41.3828939,2.1774322
32,"Antonio Montoro","ESP","D",1.82,75,"10-05-97","Getafe","Navalcarnero","Granada","Spain",40.3081807,-3.7302679
33,"","","",NA,NA,"","","","Granada","Spain",NA,NA
34,"","","",NA,NA,"","","","Granada","Spain",NA,NA
35,"Unai Etxebarria","ESP","G",1.88,81,"30-08-96","Getxo","Athletic Bilbao B","Granada","Spain",43.3479409,-3.0087671
36,"","","",NA,NA,"","","","Granada","Spain",NA,NA
37,"","","",NA,NA,"","","","Granada","Spain",NA,NA
38,"","","",NA,NA,"","","","Granada","Spain",NA,NA
39,"Pepe","ESP","D",1.85,63,"02-03-00","Linares","Granada B","Granada","Spain",38.0928249,-3.6343581
40,"","","",NA,NA,"","","","Granada","Spain",NA,NA
1,"Iván Cuéllar","ESP","G",1.87,76,"27-05-84","Mérida","Sporting Gijón","Leganés","Spain",38.9174665,-6.3443977
2,"Marc Navarro","ESP","D",1.88,79,"02-07-95","Barcelona","Watford","Leganés","Spain",41.3828939,2.1774322
3,"Unai Bustinza","ESP","D",1.75,74,"02-02-92","Bilbao","Athletic Bilbao","Leganés","Spain",43.2630051,-2.9349915
4,"Kenneth Omeruo","NGA","D",1.85,79,"17-10-93","Kaduna","Chelsea","Leganés","Spain",10.3825318,7.8533226
5,"Jonathan Silva","ARG","D",1.78,69,"29-06-94","La Plata","Sporting CP","Leganés","Spain",-34.9206797,-57.9537638
6,"Roque Mesa","ESP","M",1.71,74,"07-06-89","Telde","Sevilla","Leganés","Spain",27.9984538,-15.4166761
7,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
8,"Recio","ESP","M",1.82,79,"11-01-91","Málaga","Málaga","Leganés","Spain",36.7213028,-4.4216366
9,"Miguel Ángel Guerrero","ESP","F",1.82,77,"12-07-90","Toledo","Olympiakos","Leganés","Spain",39.8560679,-4.0239568
10,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
11,"Alexander Szymanowski","ARG","M",1.75,65,"13-10-88","Capital Federal","Brøndby","Leganés","Spain",-34.6075682,-58.4370894
12,"Chidozie Awaziem","NGA","D",1.89,82,"01-01-97","Enugu","FC Porto","Leganés","Spain",6.5536094,7.4143061
13,"Juan Soriano","ESP","G",1.82,78,"23-08-97","Benacazón","Sevilla","Leganés","Spain",37.33716865,-6.20197237408438
14,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
15,"Rodrigo Tarín","ESP","D",1.82,76,"05-07-96","Chiva","Barcelona B","Leganés","Spain",39.4726098,-0.7178348
16,"Roberto Rosales","VEN","D",1.75,71,"20-11-88","Caracas","Málaga","Leganés","Spain",10.506098,-66.9146017
17,"Javier Eraso","ESP","M",1.8,71,"22-03-90","Pamplona","Athletic Bilbao","Leganés","Spain",42.8184538,-1.6442556
18,"Guido Carrillo","ARG","F",1.9,86,"25-05-91","La Plata","Southampton","Leganés","Spain",-34.9206797,-57.9537638
19,"Aitor Ruibal","ESP","F",1.76,74,"22-03-96","Manresa","Betis B","Leganés","Spain",41.7288939,1.8286765
20,"Roger Assalé","CIV","F",1.67,65,"13-11-93","Abengourou","Young Boys","Leganés","Spain",6.667663,-3.51074487303378
21,"Rubén Pérez","ESP","M",1.78,73,"26-04-89","Écija","Granada","Leganés","Spain",37.5406007,-5.079589
22,"Dimitris Siovas","GRE","D",1.92,83,"16-09-88","Drama","Olympiakos","Leganés","Spain",41.1499443,24.1468286
23,"Ibrahim Amadou","FRA","M",1.83,78,"06-04-93","Douala","Sevilla","Leganés","Spain",4.0429408,9.706203
24,"Kévin Rodrigues","POR","M",1.7,70,"05-03-94","Bayonne","Real Sociedad","Leganés","Spain",43.4933379,-1.475099
25,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
26,"Bryan Gil","ESP","M",1.75,60,"11-02-01","Barbate","Sevilla","Leganés","Spain",36.1923983,-5.9192837
27,"Óscar","ESP","M",1.74,68,"28-06-98","Talavera de la Reina","Real Madrid B","Leganés","Spain",39.9603798,-4.8311717
28,"Ivi","ESP","D",NA,NA,"08-08-98","","Leganés B","Leganés","Spain",NA,NA
29,"Ayman Mourid","MAR","M",NA,NA,"07-05-00","","Leganés B","Leganés","Spain",NA,NA
30,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
31,"Dani Plomer","ESP","F",NA,NA,"30-11-98","","Leganés B","Leganés","Spain",NA,NA
32,"Mario del Campo","ESP","D",1.83,73,"31-01-99","Madrid","Real Madrid B","Leganés","Spain",40.4167047,-3.7035825
33,"Javier Avilés","ESP","F",NA,NA,"17-08-97","Madrid","Leganés B","Leganés","Spain",40.4167047,-3.7035825
34,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
35,"Pablo Lombo","ESP","G",NA,NA,"24-05-99","","Leganés B","Leganés","Spain",NA,NA
36,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
37,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
38,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
39,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
40,"","","",NA,NA,"","","","Leganés","Spain",NA,NA
1,"Koke","ESP","G",1.88,88,"27-09-95","Málaga","Espanyol B","Levante","Spain",36.7213028,-4.4216366
2,"Iván López","ESP","D",1.75,69,"23-08-93","Valencia","Levante B","Levante","Spain",39.4699014,-0.3759513
3,"Toño","ESP","D",1.79,69,"07-11-89","Alcalá de Henares","Recreativo Huelva","Levante","Spain",40.4818396,-3.3644973
4,"Róber Pier","ESP","D",1.82,74,"16-02-95","Oleiros","Deportivo La Coruña B","Levante","Spain",43.3507142,-8.3294374
5,"Nemanja Radoja","SRB","M",1.86,77,"06-02-93","Novi Sad","Celta Vigo","Levante","Spain",45.2551338,19.8451756
6,"Óscar Duarte","CRC","D",1.86,81,"03-06-89","Catarina","Espanyol","Levante","Spain",14.8401471,-92.0711277648208
7,"Sergio León","ESP","F",1.78,73,"06-01-89","Palma del Río","Betis","Levante","Spain",37.6949622,-5.2804262
8,"Hernâni","POR","F",1.8,69,"20-08-91","Lisbon","FC Porto","Levante","Spain",38.7077507,-9.1365919
9,"Roger","ESP","F",1.79,74,"03-01-91","Torrent","Levante B","Levante","Spain",39.436668,-0.4656213
10,"Enis Bardhi","MKD","M",1.69,67,"02-07-95","Skopje","Újpest","Levante","Spain",41.9960924,21.4316495
11,"José Luis Morales","ESP","M",1.8,70,"23-07-87","Madrid","Fuenlabrada","Levante","Spain",40.4167047,-3.7035825
12,"","","",NA,NA,"","","","Levante","Spain",NA,NA
13,"Aitor Fernández","ESP","G",1.82,74,"03-05-91","Mondragón","Numancia","Levante","Spain",43.0656783,-2.4900779
14,"Rúben Vezo","POR","D",1.82,80,"25-04-94","Setúbal","Valencia","Levante","Spain",38.524321,-8.8926172
15,"Sergio Postigo","ESP","D",1.84,78,"04-11-88","Madrid","Spezia","Levante","Spain",40.4167047,-3.7035825
